group	aliases	type	default	status	target	description
mapping related (2) (assembly)	mapReadsOntoAssembly	integer	1	stable	$MFopt{map2Assembly}	map original reads back on assembly, to estimate abundance etc
mapping related (2) (assembly)	mapSupportReadsOntoAssembly	integer	1	stable	$MFopt{mapSupport2Assembly}	"(1) map ""SupportReads"" onto assembly. Default: 0"
mapping related (2) (assembly)	saveReadsNotMap2Assembly	integer	0	stable	$MFopt{SaveUnalignedReads}	Save reads that do not map to the assembly.
map2tar / map2DB / map2GC	decoyMapping	integer	1	stable	$MFopt{DoMapModeDecoy}	"1: ""Decoy mapping"": map against reference genome AND against assembly of metagenome (drawing obvious better hits to metagenome, the ""decoy"")"
map2tar / map2DB / map2GC	competitive2ndmap	integer	-1	stable	$MFopt{mapModeTogether}	1: Competitive, 2: combined but report separately per input genome, -1: combined and report all together
map2tar / map2DB / map2GC	ref	string	""""""	stable	$MFopt{refDBall}	Comma-separated reference FASTA files for secondary mapping.
map2tar / map2DB / map2GC	mapperLargeRef	integer	0	stable	$MFopt{largeMapperDB}	use flags in mapper index built for large ref DBs?
map2tar / map2DB / map2GC	mapnms	string	""""""	stable	$MFopt{bwt2NameAll}	name for this final files
map2tar / map2DB / map2GC	redo2ndmap	integer	0	stable	$MFopt{MapRewrite2nd}	Remove and rebuild secondary-reference mappings.
SNPs	get2ndMappingConsSNP	integer	0	stable	$MFopt{Do2ndMapSNP}	SNPs (onto mapping)
SNPs	getAssemblConsSNP	integer	0	stable	$MFopt{DoConsSNP}	SNPs (onto self assembly) #calculates consensus SNP of assembly (useful for checking assembly gets consensus and Assmbl_grps)
SNPs	getAssemblConsSNPsuppRds	integer	0	stable	$MFopt{DoSuppConsSNP}	same as getAssemblConsSNP, but SNP calling for support reads
SNPs	redoAssmblConsSNP	integer	0	stable	$MFopt{redoSNPcons}	Remove and rebuild assembly consensus SNP outputs.
SNPs	SNPmem	integer	0	stable	$MFopt{memPJob}	memory per assigned core, in GB
SNPs	redoGeneExtrSNP	integer	0	stable	$MFopt{redoSNPgene}	Rebuild gene and protein sequences derived from consensus SNPs.
SNPs	SNPjobSsplit	integer	0	stable	$MFopt{SNPconsJobsPsmpl}	parallel jobs per sample; 0 uses tiered alignment-size estimates from 2 cores at 300 MB to 10 cores at 10 GB
SNPs	SNPminCallQual	integer	20	stable	$MFopt{SNPminCallQual}	Minimum variant quality used for consensus calls.
SNPs	SNPsaveVCF	integer	1	stable	$MFopt{saveVCF}	save vcf of SNP calles? DEfault : 1
SNPs	SNPsaveConsFasta	integer	0	stable	$MFopt{saveConsFastas}	Save consensus fasta from vcf calls? Default: 0 -> too large, can be quickly recreated..
SNPs	SNPcaller	string	"""MPI"""	stable	$MFopt{SNPcallerFlag}	Consensus variant caller: MPI for mpileup or FB for FreeBayes.
SNPs	SNPcores	integer	10	stable	$MFopt{maxSNPcores}	Maximum cores used by consensus SNP calling.
SNPs	SNPconsMinDepth	integer	0	stable	$MFopt{consSNPminDepth}	how many reads coverage to include position for consensus call?
SNPs	SNPnormINDEL	integer	1	stable	$MFopt{normSNPindels}	using bcftools norm to left-align indels
SNPs	SVcaller	integer	0	stable	$MFopt{callSVs}	calling structural variants: 1=delly, 2=gridss. Default (0).
functional profiling (diamond)	profileFunct	integer	0	stable	$MFopt{DoDiamond}	Run DIAMOND-based functional profiling.
functional profiling (diamond)	reParseFunct	integer	0	stable	$MFopt{redoDiamondParse}	Reparse existing DIAMOND hits.
functional profiling (diamond)	reProfileFunct	integer	0	stable	$MFopt{rewriteDiamond}	Remove and rebuild DIAMOND alignments and parsed profiles.
functional profiling (diamond)	reProfileFuncTogether	integer	0	stable	$MFopt{rewriteAllIfAnyDiamond}	if any func database needs to be redone, than redo all indicated databases (useful if number of reads used changes..)
functional profiling (diamond)	DiaCores	integer	12	stable	$MFopt{diaCores}	CPU cores requested for DIAMOND jobs.
functional profiling (diamond)	DiaMem	integer	7	stable	$MFopt{diamondMem}	memory in GB for diamond alignment jobs
functional profiling (diamond)	DiaParseEvals	string	"""1e-7"""	stable	$MFopt{diaEVal}	evalues at which to accept hits to func database
functional profiling (diamond)	DiaSensitiveMode	integer	0	stable	$MFopt{diaRunSensitive}	Enable DIAMOND sensitive mode.
functional profiling (diamond)	DiaFrameshift	integer	0	stable	$MFopt{diaFrameshift}	DIAMOND frameshift penalty for long, error-prone reads; 0 disables frameshift-aware alignment.
functional profiling (diamond)	rmRawDiamondHits	integer	0	stable	$MFopt{DiaRmRawHits}	Delete raw DIAMOND hits after successful parsing.
functional profiling (diamond)	DiaMinAlignLen	integer	20	stable	$MFopt{DiaMinAlignLen}	Minimum accepted DIAMOND alignment length.
functional profiling (diamond)	DiaMinFracQueryCov	float	0.1	stable	$MFopt{DiaMinFracQueryCov}	Minimum accepted fraction of the query aligned.
functional profiling (diamond)	DiaPercID	integer	40	stable	$MFopt{DiaPercID}	Minimum accepted DIAMOND percent identity.
functional profiling (diamond)	DiaDBs	string	""""""	stable	$MFopt{reqDiaDB}	NOG,MOH,ABR,ABRc,ACL,KGM,CZy,PTV,PAB,MOH2,URE,URacc,AMI
functional profiling (Jaime tree)	orthoExtract	integer	0	stable	$MFopt{calcOrthoPlacement}	Run translated-read orthologue placement.
ribo profiling (miTag)	profileRibosome	integer	0	stable	$MFopt{DoRibofind}	Run SSU/LSU read extraction and taxonomic assignment.
ribo profiling (miTag)	riobsomalAssembly	integer	0	stable	$MFopt{doRiboAssembl}	Assemble extracted ribosomal reads.
ribo profiling (miTag)	reProfileRibosome	integer	0	stable	$MFopt{RedoRiboFind}	Remove existing RiboFind extraction and assignment results plus merged profiles, then rerun; implies -profileRibosome 1.
ribo profiling (miTag)	reRibosomeLCA	integer	0	stable	$MFopt{RedoRiboAssign}	Remove existing RiboFind assignments and merged results, then rerun LCA; implies -profileRibosome 1.
ribo profiling (miTag)	riboMaxRds	integer	250000	stable	$MFopt{riboLCAmaxRds}	Maximum extracted reads assigned per ribosomal marker.
ribo profiling (miTag)	saveRiboRds	integer	0	stable	$MFopt{riboStoreRds}	Retain reads used during ribosomal assignment.
ribo profiling (miTag)	thoroughCheckRiboFinish	integer	0	stable	$MFopt{checkRiboNonEmpty}	Require non-empty RiboFind assignment output before accepting completion.
other tax profilers..	profileMetaphlan,profileMetaphlan3	integer	0	stable	$MFopt{DoMetaPhlan}	Run MetaPhlAn taxonomic profiling.
other tax profilers..	profileProtal	integer	0	stable	$MFopt{DoProtal}	Mode 1 profiles raw reads per sample and merges profiles; mode 2 runs one generated Protal map across the complete mapped cohort.
other tax profilers..	ProtalCores	integer	4	stable	$MFopt{ProtalCores}	CPU cores requested for a singular or combined Protal job.
other tax profilers..	ProtalMem	integer	100	stable	$MFopt{ProtalMem}	Total memory in GB requested for a singular or combined Protal job.
other tax profilers..	protalIgnoreErrors	integer	1	stable	$MFopt{protalIgnoreErrors}	Use the first compatible raw short-read pair, ignore other pair/singleton/BAM streams, or skip an incompatible Protal sample; set to 0 for strict input validation.
other tax profilers..	profileMOTU2	integer	0	stable	$MFopt{DoMOTU2}	Run mOTUs taxonomic profiling.
other tax profilers..	profileKraken	integer	0	stable	$MFopt{DoKraken}	Run Kraken taxonomic profiling.
other tax profilers..	profileTaxaTarget	integer	0	stable	$MFopt{DoTaxaTarget}	Run target-taxon profiling.
other tax profilers..	estGenoSize	integer	0	stable	$MFopt{DoGenoSizeEst}	estimate average size of genomes in data
other tax profilers..	krakenDB	string	""""""	stable	$MFopt{globalKraTaxkDB}	"""virusDB"";#= ""minikraken_2015/"";"
D2s distance	calcInterMGdistance	integer	0	stable	$MFopt{DoCalcD2s}	Calculate the legacy inter-metagenome D2 distance matrix.
IO for specific uses	newFileStructure	string	""""""	internal/advanced	$MFconfig{mocatLinkDir}	just relink raw files for use in mocat
IO for specific uses	upload2EBI	string	""""""	internal/advanced	$MFconfig{uploadRawRds}	copy human read removed raw files to this dir, named after sample
institute specific: EI	wcKeyJobs	string	""""""	internal/advanced	$MFconfig{wcKeysForJob}	Slurm work-category or accounting key added to submitted jobs.
DEBUG	OKtoRWassGrps	integer	0	internal/advanced	$MFconfig{OKtoRWassGrps}	can delete assemblies, if suspects error in them
